smiles,pic50,scaffold,n_measurements
CC(=O)NCCNCc1ccnc(NC(=O)c2cccc(-c3ccccc3)c2Cl)c1,6.05,O=C(Nc1ccccn1)c1cccc(-c2ccccc2)c1,1
CC(=O)NCCNCc1cnc(C(=O)N2CCc3c(-c4ccc5c(c4)OCCO5)cccc32)s1,7.73,O=C(c1nccs1)N1CCc2c(-c3ccc4c(c3)OCCO4)cccc21,1
CC(=O)NCCNCc1cnc(C(=O)N2CCc3c(-c4ccccc4)cccc32)s1,7.27,O=C(c1nccs1)N1CCc2c(-c3ccccc3)cccc21,1
CC(=O)NCCNCc1cnc(C(=O)Nc2cccc(-c3cccc(NC(=O)c4cc(C)c(CNCCNC(C)=O)cn4)c3C)c2C)cc1C,9.85,O=C(Nc1cccc(-c2cccc(NC(=O)c3ccccn3)c2)c1)c1ccccn1,1
CC(=O)NCCNCc1cnc(C(=O)Nc2cccc(-c3cccc(NC(=O)c4cc(C5CC5)c(CNCCNC(C)=O)cn4)c3C)c2C)cc1C1CC1,8.83,O=C(Nc1cccc(-c2cccc(NC(=O)c3cc(C4CC4)ccn3)c2)c1)c1cc(C2CC2)ccn1,1
CC(=O)NCCNCc1cnc2c(N3CCc4c(-c5ccc6c(c5)OCCO6)cccc43)ncnc2c1,7.86,c1cc(-c2ccc3c(c2)OCCO3)c2c(c1)N(c1ncnc3cccnc13)CC2,1
CC(=O)NCCNCc1cnc2c(N3CCc4c(-c5ccccc5)cccc43)nccc2c1,7.07,c1ccc(-c2cccc3c2CCN3c2nccc3cccnc23)cc1,1
CC(=O)NCCNCc1cnc2c(N3CCc4c(-c5ccccc5)cccc43)ncnc2c1,8.41,c1ccc(-c2cccc3c2CCN3c2ncnc3cccnc23)cc1,1
CC(=O)NCCNCc1ncc(C(=O)N2CCc3c(-c4ccccc4)cccc32)s1,6.18,O=C(c1cncs1)N1CCc2c(-c3ccccc3)cccc21,1
CC(=O)NCCNc1nc(Cl)nc(OCc2cccc(-c3ccccc3)c2C)n1,6.5,c1ccc(-c2cccc(COc3ncncn3)c2)cc1,1
CC(=O)NCCNc1ncnc(OCc2cccc(-c3ccccc3)c2C)n1,6.94,c1ccc(-c2cccc(COc3ncncn3)c2)cc1,1
CC(=O)OCOC(=O)C1CCCCN1Cc1cc(Cl)c(OC(F)(F)c2cccc(-c3ccc4c(c3)OCCO4)c2C)cc1OCc1ccnc(C#N)c1,7.54,c1cc(COc2ccc(CN3CCCCC3)c(OCc3ccncc3)c2)cc(-c2ccc3c(c2)OCCO3)c1,1
CC(=O)c1ccc(C(=O)N2CCC(NC(=O)c3nc(-n4cncn4)c4ccccc4n3)CC2)cc1,7.77,O=C(NC1CCN(C(=O)c2ccccc2)CC1)c1nc(-n2cncn2)c2ccccc2n1,1
CC(=O)c1ccc(NC(=O)c2nc(-n3ccnc3)c3ccccc3n2)cc1,7.08,O=C(Nc1ccccc1)c1nc(-n2ccnc2)c2ccccc2n1,1
